state,year,biasmo1,hate_crimes,fstate,merge_year,YEAR,Population,hate_crimes_per_100000
2,2015,24,7,4,2010,2010,6413737,0.10914073963431928
2,2015,25,7,4,2010,2010,6413737,0.10914073963431928
2,2015,26,8,4,2010,2010,6413737,0.12473227386779345
2,2015,32,17,4,2010,2010,6413737,0.2650560819690611
2,2015,33,5,4,2010,2010,6413737,0.0779576711673709
2,2015,41,43,4,2010,2010,6413737,0.6704359720393899
2,2015,42,5,4,2010,2010,6413737,0.0779576711673709
2,2015,43,9,4,2010,2010,6413737,0.14032380810126766
2,2015,51,3,4,2010,2010,6413737,0.046774602700422545
2,2015,52,2,4,2010,2010,6413737,0.031183068466948363
2,2016,11,20,4,2010,2010,6413737,0.3118306846694836
2,2016,12,59,4,2010,2010,6413737,0.9199005197749767
2,2016,13,1,4,2010,2010,6413737,0.015591534233474182
2,2016,14,3,4,2010,2010,6413737,0.046774602700422545
2,2016,15,2,4,2010,2010,6413737,0.031183068466948363
2,2016,21,26,4,2010,2010,6413737,0.4053798900703287
2,2016,24,17,4,2010,2010,6413737,0.2650560819690611
2,2016,25,5,4,2010,2010,6413737,0.0779576711673709
2,2016,26,2,4,2010,2010,6413737,0.031183068466948363
2,2016,32,22,4,2010,2010,6413737,0.343013753136432
2,2016,33,5,4,2010,2010,6413737,0.0779576711673709
2,2016,41,44,4,2010,2010,6413737,0.686027506272864
2,2016,42,4,4,2010,2010,6413737,0.062366136933896726
